[2026-02-19 21시43분00초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(113)]	 [인첸증가: 1]
[2026-02-19 21시44분09초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(91)]	 [인첸증가: 1]
[2026-02-19 21시44분09초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(90)]	 [인첸증가: 1]
[2026-02-19 21시44분11초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(87)]	 [인첸증가: 1]
[2026-02-19 21시44분12초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(86)]	 [인첸증가: 1]
[2026-02-19 21시44분13초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(84)]	 [인첸증가: 1]
[2026-02-19 21시44분14초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(83)]	 [인첸증가: 1]
[2026-02-19 21시44분15초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +4완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(82)]	 [인첸증가: 1]
[2026-02-19 21시44분17초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(78)]	 [인첸증가: 1]
[2026-02-19 21시44분19초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(76)]	 [인첸증가: 1]
[2026-02-19 21시44분22초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +1완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(71)]	 [인첸증가: 1]
[2026-02-19 21시44분23초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +2완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(70)]	 [인첸증가: 1]
[2026-02-19 21시44분39초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +4완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(69)]	 [인첸증가: 1]
[2026-02-19 21시44분44초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +5완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(62)]	 [인첸증가: 1]
[2026-02-19 21시44분44초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +6완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(61)]	 [인첸증가: 1]
[2026-02-19 21시44분48초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +3완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(56)]	 [인첸증가: 1]
[2026-02-19 21시44분48초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +4완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(55)]	 [인첸증가: 1]
[2026-02-19 21시44분52초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +5완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(50)]	 [인첸증가: 1]
[2026-02-19 21시44분55초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +6완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(44)]	 [인첸증가: 1]
[2026-02-19 21시45분06초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +7완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(26)]	 [인첸증가: 1]
[2026-02-19 21시45분08초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +8완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(23)]	 [인첸증가: 1]
[2026-02-19 21시46분49초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +7완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(3)]	 [인첸증가: 1]
[2026-02-19 21시49분20초] [인첸트 성공]	 [캐릭터: 메티스]	 [아이템: +8완력의 반지(1)]	 [주문서: 오림의 장신구 마법 주문서(800)]	 [인첸증가: 1]
